Nome, Time, posicao, idade, jogos, gols
Harry Kane, Bayern, Bayern, 29, 32, 36
Cristiano Ronaldo, Allnassr,centroavante, 38, 31, 35
Martín Cauteruccio, Sport. Cristal, centroavante, 36, 29, 35
Lei WU, SH Port,ponta  direita, 31, 30, 34
Garbhan Coughlan, CashmereTech,centroavante, 30, 18, 34
Kurt Borg, FC Mtarfa ,ponta esquerda, 30, 18, 34 
Saleh Nasr, Gandzasar,centroavante, 23, 21, 33
Rafaelson, Nam DinhFC, centroavantem, 26, 24, 31
Erling Haaland, Man City, centroavante, 22, 31, 27
Kylian Mbappé, Paris, centroavante, 24, 29, 27

