"ID_Time","Time","Pontos","Jogos","Vitorias","Empates","Derrotas","Gols_pro","Gols_con","Gol_Sal"
"1","Botafogo","79","38","23","10","5","59","29","30"
"2","Palmeiras","73","38","22","7","8","60","33","27"
"3","Flamengo","70","38","20","10","8","61","42","19"
"4","Fortaleza","82","38","19","11","8","53","39","14"
"5","Internacional","65","38","18","11","9","53","36","17"
"6","São Paulo","59","38","17","8","13","53","43","10"
"7","Corinthians","56","38","15","11","12","54","45","9"
"8","Bahia","53","38","15","8","15","49","49","0"
"9","Cruzeiro","52","38","14","10","14","43","41","2"
"10","Vasco","50","38","14","8","16","43","56","-13"
"11","Vitória","47","38","13","8","17","45","52","-7"
"12","Atlético Mineiro","47","38","11","14","13","47","54","-7"
"13","Fluminense","46","38","12","10","16","33","39","-6"
"14","Grêmio","45","38","12","9","17","44","50","-6"
"15","Juventude","45","38","11","12","15","48","59","-11"
"16","Red Bull Bragantino","44","38","10","14","44","44","48","-4"
"17","Athletico Paranaense","42","38","11","9","18","40","46","-6"
"18","Criciúma","38","38","9","11","18","42","61","-19"
"19","Atlético Goianiense","30","38","7","9","22","29","58","-29"
"20","Cuiabá","30","38","6","12","20","29","49","-20"
